Moive_ID,Movie Rating,Duration,Gross_M,Worldwide LT Gross,Metascore,movie_age,Actionn,Comedy,Drama,Romance,Horror,Sci_fi,Family,Vote_Catg
Harry Potter and the Half-Blood Prince_2009,7.6,153,301,934483039,78,14,1,0,0,0,0,0,1,Adequate
Shrek 2_2004,7.3,93,436,928760770,75,19,0,1,0,0,0,0,0,Adequate
Bohemian Rhapsody_2018,7.9,134,216,910809311,49,5,0,0,1,0,0,0,0,Adequate
Chang jin hu_2021,5.4,176,0,902545034,NULL,2,1,0,1,0,0,0,0,Low
The Lord of the Rings: The Fellowship of the Ring_2001,8.8,178,315,898094742,92,22,1,0,1,0,0,0,0,High
Harry Potter and the Goblet of Fire_2005,7.7,157,290,896730264,81,18,0,0,0,0,0,0,1,Adequate
Spider-Man 3_2007,6.3,139,336,894983373,59,16,1,0,0,0,0,1,0,Adequate
Minions: The Rise of Gru_2022,6.6,87,0,890966065,56,1,0,1,0,0,0,0,0,Satisfactory
Ice Age: Dawn of the Dinosaurs_2009,6.9,94,196,886686817,50,14,0,1,0,0,0,0,0,Adequate
Spectre_2015,6.8,148,200,880681519,60,8,1,0,0,0,0,0,0,Adequate
Spider-Man: Homecoming_2017,7.4,133,334,880166924,73,6,1,0,0,0,0,1,0,Adequate
Harry Potter and the Chamber of Secrets_2002,7.4,161,261,879928511,63,21,0,0,0,0,0,0,1,Adequate
Ice Age: Continental Drift_2012,6.5,88,161,877244782,49,11,0,1,0,0,0,0,0,Adequate
The Secret Life of Pets_2016,6.5,87,368,875458631,61,7,0,1,0,0,0,0,0,Adequate
Batman v Superman: Dawn of Justice_2016,6.4,152,330,873637528,44,7,1,0,0,0,0,1,0,Adequate
Zhan lang II_2017,5.9,123,2,870325439,44,6,1,0,1,0,0,0,0,Low
Star Wars: Episode III - Revenge of the Sith_2005,7.6,140,380,868390560,68,18,1,0,0,0,0,0,0,Adequate
The Hunger Games: Catching Fire_2013,7.5,146,424,865011746,76,10,1,0,0,0,0,1,0,Adequate
Guardians of the Galaxy Vol. 2_2017,7.6,136,389,863756051,67,6,1,1,0,0,0,0,0,Adequate
Inside Out_2015,8.2,95,356,858848019,94,8,0,1,0,0,0,0,0,Adequate
Venom_2018,6.6,112,213,856085151,35,5,1,0,0,0,0,1,0,Adequate
Thor: Ragnarok_2017,7.9,130,315,853983879,74,6,1,1,0,0,0,0,0,Adequate
Inception_2010,8.8,148,292,836848102,74,13,1,0,0,0,0,1,0,High
Transformers: Revenge of the Fallen_2009,5.9,149,402,836303693,35,14,1,0,0,0,0,1,0,Adequate
The Twilight Saga: Breaking Dawn - Part 2_2012,5.5,115,292,829747654,52,11,0,0,1,0,0,0,0,Adequate
Spider-Man_2002,7.4,121,403,825025036,73,21,1,0,0,0,0,1,0,Adequate
Wonder Woman_2017,7.4,141,412,822854286,76,6,1,0,0,0,0,0,0,Adequate
"Ni hao, Li Huanying_2021",7,128,0,822009764,NULL,2,0,1,0,1,0,0,0,Low
Independence Day_1996,7,145,306,817400891,59,27,1,0,0,0,0,1,0,Adequate
Fantastic Beasts and Where to Find Them_2016,7.2,132,234,814044001,66,7,0,0,0,0,0,0,1,Adequate
Shrek the Third_2007,6.1,93,320,813367380,58,16,0,1,0,0,0,0,0,Adequate
Coco_2017,8.4,105,209,807817888,81,6,0,1,0,0,0,0,0,Adequate
Jumanji: The Next Level_2019,6.7,123,316,800059707,58,4,1,1,0,0,0,0,0,Adequate
